alias	category	description	keywords
10001-1_B-Model-from-Instruction.mpd	Trains	A model train on a circular track, featuring a locomotive and passenger cars.	model train, circular track, locomotive, passenger cars, train model
10001-1.mpd	Trains	A toy train on a circular track.	toy train, circular track, model train, toy railway, toy locomotive
10002-1.mpd	Vehicles	A LEGO train car with a colorful design and windows.	LEGO train, colorful design, windows, LEGO train car, colorful train
10013-1.mpd	Vehicles	A model train car with a blue and brown cargo area.	train car, cargo train, model train, blue cargo, brown cargo
10014-1.mpd	Vehicles	A red train car with a gray roof and windows, featuring a classic design.	red train car, gray roof, windows, classic design, train
10015-1.mpd	Vehicles	A LEGO train car with a green and red color scheme.	LEGO train, green train car, red roof, cargo train, lego model
10016-1.mpd	Trains	A white cylindrical tank car with a red cap on a train track.	tank car, train, cylinder, red cap, track
10017-1.mpd	Trains	A cargo train car with a blue stripe and a loading ramp.	cargo train, loading ramp, blue stripe, train car, loading
10018-1.mpd	Fantasy / Mythical	A pixelated, blocky creature with a red and gray color scheme, featuring a menacing expression and a glowing orange eye.	blocky, creature, red, gray, growing
10019-1.mpd	Vehicles	A detailed model of a Rebel Blockade Runner from the Star Wars universe.	Rebel Blockade Runner, Star Wars, UCS, model, spaceship
10020-1.mpd	Trains	A red and yellow train with a driver and a passenger standing next to it.	train, red, yellow, driver, passenger
10022-1_Dining-Car.mpd	Trains	A LEGO train car with a grey exterior and windows, featuring the text 'SANTA FE' on the side.	LEGO, train car, SANTA FE, grey, windows
10022-1_Observation-Car.mpd	Vehicles	A model train car with a rectangular shape and windows, featuring the text 'JAPAN' on the side.	train car, model train, rectangular shape, windows, text 'JAPAN'
10022-1_Sleeping-Car.mpd	Vehicles	A LEGO train car with a simple, rectangular design.	LEGO, train car, simple design, rectangular, LEGO train
10025-1_Baggage-Car.mpd	Trains	A model train car with the label 'SANTA FE' on the side.	train, model, SANTA FE, car, model train
10025-1_Mail-Car.mpd	Trains	A grey train car with the word 'Sanitize' on the side.	train car, sanitize, grey, passenger car, transport
10030-1.mpd	Technic	A large, detailed model of a spaceship or aircraft carrier with multiple engines and a flag on the front.	spaceship, carrier, engines, flag, model
10036-1.mpd	City / Town	A LEGO model of a small food truck with a chef character preparing food.	LEGO, food truck, chef, preparing food, city
